,claim,label,justification,claim_date,speaker,reporting_source,location_ISO_code
2471,Democrats in the House of Representatives voted for the right of illegal immigrants to vote in the US.,Refuted,"Q&A 3 says democrats voted against a bill to illegal immigrants the right to vote in the US.
With Q&A 7 saying another bill connected to voting also does not give illegal immigrants this right as is claimed.
",2019-03-12,,Facebook,US
2472,"52 counties in the state of New York have average taxes of above the SALT (state and local taxes) $10,000 cap",Supported,The evidence supports the number of New York counties with average taxes above the SALT cap.,2019-03-11,Andrew Cuomo,,US
2473,"The Boeing 737 Max 8, the type of plane that crashed in Ethiopia, continues to fly in the United States, despite the FAA saying ""software updates are likely coming.""",Supported,The Q and A pairs show that the US are still using the planes and that a software update will be coming.,2019-03-11,Boeing Statement on 737 MAX Software Enhancement,,
2474,Thomas Jefferson third president of the United States said hemp is of first necessity to the wealth and protection of the country.,Refuted,"It seems that hemp was not actually referenced by Jefferson, therefore the claim is refuted",2019-03-11,Vincette Wilson,Facebook,US
2475,The Catholic Church announced that it was introducing burkas for altar servers.,Refuted,This information was published on a satire website as per Q&A source information.  Therefore the claim is refuted.,2019-03-11,,Website,DE
2476,Kenya has one of the worst maternal mortality rates in the world.,Supported,The WHO report shows that maternal mortality rates in Kenya is among the highest in the world.,2019-03-10,Penny Appeal,Penny Appeal,KE
2477,El Paso US Democrat Beto O’Rourke said that the only qualifications working women had were their phenomenally large breasts and tight buttocks.,Conflicting Evidence/Cherrypicking,"The quote is cherrypicked from a different place, some years ago. ",2019-03-10,Club for Growth,YouTube,US
2478,Kenya has one of the worst maternal mortality rates in the world,Supported,"The evidence shows a high rate and that Kenya is one of the worst 21 countries. It does not however, state Kenyas position in those 21 countries. ",2019-03-10,Penny Appeal UK registered charity.,Fragile Lives website,KE
2479,Poland has had no terror attacks.,Refuted,A record of terror attacks in Poland exists.,2019-03-09,Maxim Lowe,Facebook,PL
2480,Poland has a no-migrants policy.,Refuted,The answer informs me that Poland does not have a no migrants policy so the claim is refuted.,2019-03-09,Maxim Lowe,Facebook,PL
2481,"Donald Trumps tax cut was about 1.5 trillion dollars scored. It has been virtually paid for, at least 80 percent paid for and that’s by the CBO’s own numbers.",Not Enough Evidence,Q&As make no sense. There seems to be no known relation between these questions and the claim.,2019-03-08,Larry Kudlow,CNBC,US
2482,HR 1 is going to take your hard-earned tax dollars and millions more and send them to (a political candidate’s) campaign so (they) can put ads on TV,Refuted,The answers explain that HR1 doesn't mention TV advertisements and also isn't funded by taxes.,2019-03-07,Mark Walker,Video,US
2483,"Four members of the Congress and Samajwadi Party assaulted two Kashmiri dry fruit sellers in Lucknow, India in March 2019.",Refuted,Police reports said they are members of Vishwa Hindu Dal trust which is right wing group. The Samajwadi party is a left wing group.,2019-03-07,Narendra Modi Army,Facebook,IN
2484,"Russia has historically reaffirmed its role as a state  that is the guarantor of stability and security, and is a party that brings peace, not agression.",Refuted,"Both Question and Answer pairs return evidence that proves Russia has been aggressive and commited crime by invading Ukraine and was found by the International Criminal Court, therefore the claim must be refuted as both answers suggest quite the opposite to the claim.",2019-03-07,Russian Foreign Ministry spokeswoman Maria Zakharova ,Russian Foreign Ministry,RU
2485,The Nigerian Supreme Court nullified the results of the 2019 Nigerian Presidential Election.,Refuted,The answers show that the supreme court did not nullify the results so the claim is refuted.,2019-03-07,Exclusive 103.com website,blog,NG
2486,MMR Vaccine does not causes autism in Children.,Supported,The answers and sources show that there is strong evidence that the MMR vaccine does not cause autism in children so the claim is supported.,2019-03-06,Jacaranda 94.2,Facebook,GB
2487,Over ninety per cent of those who died during the Troubles in Northern Ireland were killed by paramilitaries.,Not Enough Evidence,"Missing evidence: 
- no explanation in 2nd QA as to whether the Troubles referred to in the claim is the same as the Irish Civil War in 1969 (not common knowledge); 
- no evidence to support whether 90% of the over 3500 people that died during the Troubles (referred to in the 2nd QA) were people killed by paramilitaries.",2019-03-06,,UK House of Commons,GB
2488,Nigeria’s central bank has banned textile imports,Refuted,"The Q&A pairs list the item that the claim states is banned but then also point out that the item is not banned, as that is not what the import restrictions are about.",2019-03-05,Nigerian Tribune Newspaper ,Facebook,
2489,Former U.S. President Barack Obama didn't turn over any documents to Congress.,Refuted,Obama did turn over documents. Specific examples are named in the Q&A.,2019-03-05,President Trump ,White house ,US
2490,"3,65,996 crore rupees were directly transferred into bank account of beneficiaries of PAHAL, India's Direct Benefit Transfer for LPG, 431consumer schemes",Conflicting Evidence/Cherrypicking,the amount of consumer schemes conflicts and so does the amount of money transferred.,2019-03-04,BJP government,48months,IN
2491,"Muslim Figure Said ""We must have Pork-Free Menus Or We Will Leave U.S",Refuted,The claim comes from a now defunct and proven fake/hoax news site.,2019-03-04,, 7once,US
2492,"Bellingcat set out to prove Petrov and Boshirov - two men suspected by British authorities of poisoning Sergei and Yulia Skripal in Salisbury, England on March 4, 2018 - were secret Russian spies.",Not Enough Evidence,There's no QA pair attributed to knowing who or what Bellingcat in the claim is referring to,2019-03-04,,RT,GB
2493,"PAHAL, India's Direct Benefit Transfer for LPG consumer scheme, is the world’s largest cash transfer program.",Supported,It has been acknowledged by the Guiness Book of Records. ,2019-03-04,BJP government,48months,IN
2494,"When the Coalition came to power, it inherited a 755 million tonne emissions deficit needed to reach Australia's second Kyoto target because Labor hadn't done the hard work.",Refuted,The answer and source show that they did not inherit that deficit so the claim is refuted.,2019-03-03,Angus Taylor, ABC's Insiders,AU
2495,"Vice President, Prof. Yemi Osinbajo has said that ""the N10,000 loan given to traders under the Tradermoni scheme of the Federal Government has been stopped"".",Refuted,The main part of the claim stating that a loan scheme has been stopped is shown to not be true in the 3rd Q&A pair.,2019-03-03,@Pr8nz ,Twitter,
2496,Obama's 2 terms were a crime spree.,Refuted,"The info was posted on a meme that went viral, misinformation can be easily spread through social network and people now it's easier for people to choose what to believe.",2019-03-03,Deplorables for Trump,Facebook,US
2497,"Donald trump claims ""Nobody shows up (for immigration hearings). Three percent of the people come back for a trial.""",Refuted,the answer shows about 70% of people come back for their hearing. ,2019-03-02,Donald trump,,US
2498,"Donald Trump claims that Virginia’s Democratic governor said he would allow parents, ""if they didn’t want the child, who is now outside of the womb — long outside of the womb — they will execute the baby after birth.""",Refuted,Donald Trumps words are not supported by the evidence given in the q&a.,2019-03-02,Donald trump,,US
2499,More people are working today in the United States than ever before in the history of our country.,Supported,More people are working today than ever before. ,2019-03-02,Donald trump ,,US
2500,The Trump administration passed the largest package of tax cuts and reforms in American history.,Refuted,"Seems from the question and answers pairs the package of tax cuts is not the biggest in the history of the US. There, the claim is refuted.",2019-03-02,Donald Trump,Conservative Political Action Conference,US
2501,"The visa lottery in the US, allows foreign governments to send criminals and people they don't want.",Refuted,The answer and sources show that foreign governments do not have any participation in the lottery.,2019-03-02,Donald Trump,,US
2502,"Donald trump claims 'We have nearly 5 million Americans that have been lifted off of food stamps.""",Not Enough Evidence,No before or after numbers to compare.,2019-03-02,Donald trump,,US
2503,Donald trump claims that 'We passed the largest package of tax cuts and reforms in American history',Refuted,"As it seems from the question and answer pair that the numbers do not quite add up. Therefore, the claim is refuted",2019-03-02,Donald trump,,US
